Day,confirmed,deaths,recovered
22/1,547,17,28
23/1,638,17,30
24/1,916,26,36
25/1,1399,42,39
26/1,2062,56,49
27/1,2863,82,58
28/1,5494,131,101
29/1,6070,133,120
30/1,8124,171,135
31/1,9783,213,214
1/2,11871,259,275
2/2,16607,361,463
3/2,19693,425,614
4/2,23680,490,843
5/2,27409,562,1115
6/2,30553,632,1476
7/2,34075,717,1998
8/2,36778,804,2595
9/2,39790,904,3218
10/2,42306,1011,3917
11/2,44327,1111,4635
12/2,44699,1116,5079
13/2,59832,1368,6213
14/2,66292,1520,7973
15/2,68347,1662,9294
16/2,70446,1765,10748
17/2,72364,1863,12455
18/2,73139,2002,14199
19/2,74546,2114,15952
20/2,74999,2236,18002
21/2,75472,2236,18693
22/2,76922,2441,22687
23/2,76938,2443,23170
24/2,77152,2593,24990
25/2,77660,2663,27650
26/2,78065,2715,30053
27/2,78498,2744,32898
28/2,78824,2788,36291
29/2,79251,2835,39279
1/3,79826,2870,42118
