Days,confirmed,deaths,recovered
22/01/2020,0,0,0
23/01/2020,0,0,0
24/01/2020,0,0,0
25/01/2020,0,0,0
26/01/2020,0,0,0
27/01/2020,0,0,0
28/01/2020,0,0,0
29/01/2020,0,0,0
30/01/2020,0,1,0
31/01/2020,2,1,0
01/02/2020,2,1,0
02/02/2020,2,2,0
03/02/2020,2,2,0
04/02/2020,2,2,0
05/02/2020,2,2,0
06/02/2020,2,2,0
07/02/2020,3,2,0
08/02/2020,3,2,0
09/02/2020,3,2,0
10/02/2020,8,2,0
11/02/2020,8,2,0
12/02/2020,9,2,1
13/02/2020,9,2,1
14/02/2020,9,2,1
15/02/2020,9,2,1
16/02/2020,9,2,8
17/02/2020,9,2,8
18/02/2020,9,2,8
19/02/2020,9,2,8
20/02/2020,9,2,8
21/02/2020,9,2,8
22/02/2020,9,3,8
23/02/2020,9,3,8
24/02/2020,13,3,8
25/02/2020,13,3,8
26/02/2020,13,3,8
27/02/2020,15,3,8
28/02/2020,20,3,8
29/02/2020,23,3,8
01/03/2020,36,3,8
