Days,confirmed,deaths,recovered
22/01/2020,1,0,0
23/01/2020,1,0,0
24/01/2020,2,0,0
25/01/2020,2,0,0
26/01/2020,5,0,0
27/01/2020,5,0,0
28/01/2020,5,0,0
29/01/2020,5,0,0
30/01/2020,5,0,0
31/01/2020,6,0,0
01/02/2020,8,0,0
02/02/2020,8,0,0
03/02/2020,11,0,0
04/02/2020,11,0,0
05/02/2020,12,0,0
06/02/2020,12,0,0
07/02/2020,12,0,0
08/02/2020,12,0,0
09/02/2020,12,0,3
10/02/2020,12,0,3
11/02/2020,13,0,3
12/02/2020,13,0,3
13/02/2020,15,0,3
14/02/2020,15,0,3
15/02/2020,15,0,3
16/02/2020,15,0,3
17/02/2020,15,0,3
18/02/2020,15,0,3
19/02/2020,15,0,3
20/02/2020,15,0,3
21/02/2020,35,0,5
22/02/2020,35,0,5
23/02/2020,35,0,5
24/02/2020,53,0,5
25/02/2020,53,0,6
26/02/2020,59,0,6
27/02/2020,60,0,6
28/02/2020,62,0,7
29/02/2020,70,1,7
01/03/2020,76,1,7
